".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"rating","H","AH",30,30,-0.522270643615568,29,0.605,1,"ns"
"rating","H","NH",30,30,0.950469629425243,29,0.35,1,"ns"
"rating","AH","NH",30,30,2.31125475739983,29,0.028,0.084,"ns"
