Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
1,shepard,pitch_constant_200to200Hz.mp3,audio,0.0,0.0,0.0,0.0
1,shepard,pitch_constant_200to200Hz.mp3,both,0.0,0.0,0.0,0.0
1,shepard,pitch_constant_200to200Hz.mp3,haptic,0.0,0.0,0.0,0.0
1,shepard,pitch_decrease_mild_200to141Hz.mp3,audio,-3.8,-2.3,-4.2,-3.433
1,shepard,pitch_decrease_mild_200to141Hz.mp3,both,-4.0,-3.8,-3.2,-3.667
1,shepard,pitch_decrease_mild_200to141Hz.mp3,haptic,-7.1,0.0,0.0,-2.367
1,shepard,pitch_decrease_strong_200to100Hz.mp3,audio,-10.0,-7.4,-10.0,-9.133
1,shepard,pitch_decrease_strong_200to100Hz.mp3,both,-8.4,-9.3,-10.0,-9.233
1,shepard,pitch_decrease_strong_200to100Hz.mp3,haptic,5.5,7.5,7.0,6.667
1,shepard,pitch_increase_mild_200to283Hz.mp3,audio,2.4,2.7,5.8,3.633
1,shepard,pitch_increase_mild_200to283Hz.mp3,both,4.1,3.2,3.5,3.6
1,shepard,pitch_increase_mild_200to283Hz.mp3,haptic,5.4,2.2,5.8,4.467
1,shepard,pitch_increase_strong_200to400Hz.mp3,audio,6.5,4.6,9.1,6.733
1,shepard,pitch_increase_strong_200to400Hz.mp3,both,7.3,8.2,9.6,8.367
1,shepard,pitch_increase_strong_200to400Hz.mp3,haptic,8.4,7.7,0.0,5.367
1,shepard,shepard_falling_1.0.mp3,audio,-10.0,-8.1,-10.0,-9.367
1,shepard,shepard_falling_1.0.mp3,both,-10.0,-10.0,-9.1,-9.7
1,shepard,shepard_falling_1.0.mp3,haptic,3.4,8.3,0.0,3.9
1,shepard,shepard_rising_1.0.mp3,audio,9.8,10.0,10.0,9.933
1,shepard,shepard_rising_1.0.mp3,both,10.0,10.0,10.0,10.0
1,shepard,shepard_rising_1.0.mp3,haptic,0.0,0.0,-2.9,-0.967
