Participant,Block,Stimulus,Modality,Rank,Filename,Score
6,1,shepard,both,1,shepard_falling_1.5.mp3,-5.2
6,1,shepard,both,2,shepard_falling_1.0.mp3,-3.8
6,1,shepard,both,3,pitch_decrease_strong_200to100Hz.mp3,-2.6
6,1,shepard,both,4,pitch_decrease_mild_200to141Hz.mp3,-1.7
6,1,shepard,both,5,pitch_constant_200to200Hz.mp3,-0.1
6,1,shepard,both,6,pitch_increase_mild_200to283Hz.mp3,2.1
6,1,shepard,both,7,pitch_increase_strong_200to400Hz.mp3,3.6
6,1,shepard,both,8,shepard_rising_1.0.mp3,5.4
6,1,shepard,both,9,shepard_rising_1.5.mp3,7.4
