timestamp,risset_file,slider_value,bpm_per_sec
1768591485.6442666,none,0.42,2.52
1768591487.057933,none,0.42,2.52
1768591487.6488678,none,0.42,2.52
1768591487.9605293,none,0.42,2.52
1768591488.1436675,none,0.42,2.52
1768591488.2605383,none,0.42,2.52
1768591488.5276084,none,0.42,2.52
1768591488.6809146,none,0.42,2.52
