Participant,Block,Stimulus,Modality,Rank,Filename,Score
1,1,risset,audio,1,rissettrhythm reverse.mp3,-4.6
1,1,risset,audio,2,rissettrhythm reverse-1.5.mp3,-2.5
1,1,risset,audio,3,ramp_90to70BPM_8s_700Hz.mp3,-1.3
1,1,risset,audio,4,ramp_90to90BPM_8s_700Hz.mp3,0.0
1,1,risset,audio,5,ramp_90to60BPM_8s_700Hz.mp3,0.8
1,1,risset,audio,6,rissettrhythm.mp3,0.9
1,1,risset,audio,7,ramp_90to110BPM_8s_700Hz.mp3,2.0
1,1,risset,audio,8,ramp_90to120BPM_8s_700Hz.mp3,4.0
1,1,risset,audio,9,rissettrhythm-1.5.mp3,7.1
