Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
2,risset,ramp_90to110BPM_8s_700Hz.mp3,audio,2.0,4.3,4.0,3.433
2,risset,ramp_90to110BPM_8s_700Hz.mp3,both,3.7,3.8,3.4,3.633
2,risset,ramp_90to110BPM_8s_700Hz.mp3,haptic,2.7,2.6,2.1,2.467
2,risset,ramp_90to120BPM_8s_700Hz.mp3,audio,4.1,3.6,7.1,4.933
2,risset,ramp_90to120BPM_8s_700Hz.mp3,both,2.2,4.4,3.3,3.3
2,risset,ramp_90to120BPM_8s_700Hz.mp3,haptic,3.7,3.6,3.6,3.633
2,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-3.1,-5.9,-5.5,-4.833
2,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-2.7,-4.7,-2.8,-3.4
2,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-1.8,-3.0,-1.8,-2.2
2,risset,ramp_90to70BPM_8s_700Hz.mp3,audio,-1.8,-4.5,-5.8,-4.033
2,risset,ramp_90to70BPM_8s_700Hz.mp3,both,-3.6,-3.6,-3.8,-3.667
2,risset,ramp_90to70BPM_8s_700Hz.mp3,haptic,2.6,-1.8,1.8,0.867
2,risset,ramp_90to90BPM_8s_700Hz.mp3,audio,0.9,0.0,1.0,0.633
2,risset,ramp_90to90BPM_8s_700Hz.mp3,both,0.0,1.4,2.3,1.233
2,risset,ramp_90to90BPM_8s_700Hz.mp3,haptic,1.5,2.8,0.0,1.433
2,risset,rissettrhythm reverse.mp3,audio,-1.8,-1.7,-2.9,-2.133
2,risset,rissettrhythm reverse.mp3,both,-2.5,-2.1,1.8,-0.933
2,risset,rissettrhythm reverse.mp3,haptic,-1.9,-2.1,1.6,-0.8
2,risset,rissettrhythm.mp3,audio,3.6,4.1,4.5,4.067
2,risset,rissettrhythm.mp3,both,3.5,3.2,2.7,3.133
2,risset,rissettrhythm.mp3,haptic,1.7,2.8,1.9,2.133
