Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
2,shepard,pitch_constant_220to220Hz.wav,audio,4.7,0.0,0.0,1.567
2,shepard,pitch_constant_220to220Hz.wav,both,3.7,1.4,0.0,1.7
2,shepard,pitch_constant_220to220Hz.wav,haptic,-4.4,4.2,0.0,-0.067
2,shepard,pitch_decrease_mild_220to156Hz.wav,audio,-5.2,-4.8,-7.7,-5.9
2,shepard,pitch_decrease_mild_220to156Hz.wav,both,-3.9,-4.0,-4.6,-4.167
2,shepard,pitch_decrease_mild_220to156Hz.wav,haptic,0.0,2.6,5.1,2.567
2,shepard,pitch_decrease_strong_220to110Hz.wav,audio,-7.1,-6.7,-5.1,-6.3
2,shepard,pitch_decrease_strong_220to110Hz.wav,both,-6.4,-6.2,-5.9,-6.167
2,shepard,pitch_decrease_strong_220to110Hz.wav,haptic,0.0,0.0,0.0,0.0
2,shepard,pitch_increase_mild_220to311Hz.wav,audio,8.1,6.5,5.3,6.633
2,shepard,pitch_increase_mild_220to311Hz.wav,both,8.6,7.1,8.4,8.033
2,shepard,pitch_increase_mild_220to311Hz.wav,haptic,-5.7,-2.8,-3.8,-4.1
2,shepard,pitch_increase_strong_220to440Hz.wav,audio,8.5,8.7,8.9,8.7
2,shepard,pitch_increase_strong_220to440Hz.wav,both,8.1,6.7,7.9,7.567
2,shepard,pitch_increase_strong_220to440Hz.wav,haptic,-6.4,-5.8,-3.2,-5.133
2,shepard,shepard_falling_haptic.wav,audio,-7.2,-2.7,-5.7,-5.2
2,shepard,shepard_falling_haptic.wav,both,-9.1,-6.8,-4.1,-6.667
2,shepard,shepard_falling_haptic.wav,haptic,0.0,-4.5,-0.8,-1.767
2,shepard,shepard_rising_haptic.wav,audio,2.3,-1.0,2.6,1.3
2,shepard,shepard_rising_haptic.wav,both,0.0,2.6,2.7,1.767
2,shepard,shepard_rising_haptic.wav,haptic,0.0,-2.1,-1.1,-1.067
