Participant,Block,Stimulus,Modality,Rank,Filename,Score
2,3,risset,haptic,1,ramp_100to60BPM_8s_700Hz.mp3,-9.8
2,3,risset,haptic,2,rissettrhythm-2.0.mp3,-7.9
2,3,risset,haptic,3,rissettrhythm reverse-1.5.mp3,-6.2
2,3,risset,haptic,4,ramp_60to60BPM_8s_700Hz.mp3,-4.7
2,3,risset,haptic,5,rissettrhythm reverse.mp3,-2.4
2,3,risset,haptic,6,ramp_90to60BPM_8s_700Hz.mp3,-1.8
2,3,risset,haptic,7,ramp_80to60BPM_8s_700Hz.mp3,-1.1
2,3,risset,haptic,8,ramp_60to90BPM_8s_700Hz.mp3,0.4
2,3,risset,haptic,9,ramp_60to80BPM_8s_700Hz.mp3,0.8
2,3,risset,haptic,10,rissettrhythm reverse-2.0.mp3,2.1
2,3,risset,haptic,11,rissettrhythm.mp3,3.2
2,3,risset,haptic,12,ramp_60to100BPM_8s_700Hz.mp3,5.7
2,3,risset,haptic,13,rissettrhythm+-1.5.mp3,9.0
