Participant,Block,Stimulus,Modality,Rank,Filename,Score
3,2,risset,audio,1,rissettrhythm reverse-1.5.mp3,-8.9
3,2,risset,audio,2,rissettrhythm reverse-2.0.mp3,-6.8
3,2,risset,audio,3,rissettrhythm reverse.mp3,-5.2
3,2,risset,audio,4,ramp_90to60BPM_8s_700Hz.mp3,-4.3
3,2,risset,audio,5,ramp_100to60BPM_8s_700Hz.mp3,-2.5
3,2,risset,audio,6,ramp_80to60BPM_8s_700Hz.mp3,-0.4
3,2,risset,audio,7,ramp_60to80BPM_8s_700Hz.mp3,0.0
3,2,risset,audio,8,ramp_60to60BPM_8s_700Hz.mp3,0.6
3,2,risset,audio,9,ramp_60to90BPM_8s_700Hz.mp3,1.5
3,2,risset,audio,10,rissettrhythm.mp3,2.5
3,2,risset,audio,11,ramp_60to100BPM_8s_700Hz.mp3,3.5
3,2,risset,audio,12,rissettrhythm-2.0.mp3,4.7
3,2,risset,audio,13,rissettrhythm-1.5.mp3,6.6
