Participant,Block,Stimulus,Modality,Rank,Filename,Score
1,3,risset,both,1,ramp_80to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,2,rissettrhythm reverse-2.0.mp3,0.0
1,3,risset,both,3,rissettrhythm reverse.mp3,0.0
1,3,risset,both,4,ramp_90to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,5,rissettrhythm.mp3,0.0
1,3,risset,both,6,rissettrhythm-2.0.mp3,0.0
1,3,risset,both,7,ramp_60to90BPM_8s_700Hz.mp3,0.0
1,3,risset,both,8,rissettrhythm-1.5.mp3,0.0
1,3,risset,both,9,ramp_60to100BPM_8s_700Hz.mp3,0.0
1,3,risset,both,10,ramp_100to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,11,ramp_60to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,12,ramp_60to80BPM_8s_700Hz.mp3,0.0
1,3,risset,both,13,rissettrhythm reverse-1.5.mp3,0.0
