Participant,Block,Stimulus,Modality,Rank,Filename,Score
4,1,shepard,haptic,1,pitch_increase_strong_200to400Hz.mp3,-10.0
4,1,shepard,haptic,2,pitch_decrease_strong_200to100Hz.mp3,-7.9
4,1,shepard,haptic,3,pitch_increase_mild_200to283Hz.mp3,-6.5
4,1,shepard,haptic,4,shepard_falling_1.0.mp3,-3.6
4,1,shepard,haptic,5,pitch_decrease_mild_200to141Hz.mp3,-2.6
4,1,shepard,haptic,6,shepard_rising_1.0.mp3,0.0
4,1,shepard,haptic,7,pitch_constant_200to200Hz.mp3,0.0
4,1,shepard,haptic,8,shepard_falling_1.5.mp3,0.9
4,1,shepard,haptic,9,shepard_rising_1.5.mp3,1.5
