Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
9,risset,ramp_90to110BPM_8s_700Hz.mp3,audio,2.5,2.7,8.2,4.467
9,risset,ramp_90to110BPM_8s_700Hz.mp3,both,4.5,6.1,5.0,5.2
9,risset,ramp_90to110BPM_8s_700Hz.mp3,haptic,1.5,2.5,8.3,4.1
9,risset,ramp_90to120BPM_8s_700Hz.mp3,audio,7.1,6.6,5.1,6.267
9,risset,ramp_90to120BPM_8s_700Hz.mp3,both,5.6,4.7,4.6,4.967
9,risset,ramp_90to120BPM_8s_700Hz.mp3,haptic,2.4,5.2,9.3,5.633
9,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-5.6,-4.2,-3.1,-4.3
9,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-6.9,-3.6,-6.0,-5.5
9,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-7.0,-4.8,-4.5,-5.433
9,risset,ramp_90to70BPM_8s_700Hz.mp3,audio,-4.6,-1.9,-4.2,-3.567
9,risset,ramp_90to70BPM_8s_700Hz.mp3,both,-4.2,-6.5,-4.2,-4.967
9,risset,ramp_90to70BPM_8s_700Hz.mp3,haptic,3.0,-5.6,-3.1,-1.9
9,risset,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0,0.0,0.0,0.0
9,risset,ramp_90to90BPM_8s_700Hz.mp3,both,0.0,0.0,2.6,0.867
9,risset,ramp_90to90BPM_8s_700Hz.mp3,haptic,2.1,4.6,0.0,2.233
9,risset,rissettrhythm reverse-1.5.mp3,audio,-7.2,-6.4,-2.5,-5.367
9,risset,rissettrhythm reverse-1.5.mp3,both,-5.9,-7.7,8.2,-1.8
9,risset,rissettrhythm reverse-1.5.mp3,haptic,2.5,2.5,2.4,2.467
9,risset,rissettrhythm reverse.mp3,audio,-8.0,-7.5,-4.8,-6.767
9,risset,rissettrhythm reverse.mp3,both,-3.8,-4.9,-3.4,-4.033
9,risset,rissettrhythm reverse.mp3,haptic,1.6,1.6,-3.0,0.067
9,risset,rissettrhythm-1.5.mp3,audio,8.5,8.7,6.3,7.833
9,risset,rissettrhythm-1.5.mp3,both,5.9,8.3,10.0,8.067
9,risset,rissettrhythm-1.5.mp3,haptic,1.0,6.3,1.7,3.0
9,risset,rissettrhythm.mp3,audio,3.9,3.2,1.8,2.967
9,risset,rissettrhythm.mp3,both,1.2,1.8,8.2,3.733
9,risset,rissettrhythm.mp3,haptic,-3.6,0.0,6.6,1.0
