,6060,6080,6090,60100,risset
E1,0,0.9,4.9,5.9,3.1
E2,0,2.3,2.7,5.1,1.6
E3,0,1.7,2.1,3.7,0.8
R1,-1.9,3.2,0.4,5,6.8
R2,-0.8,0.5,2.8,1.4,5.2
R3,-0.8,0.3,1.5,0.4,3.1
C1,0,0,2,3,4
C2,0,0,1,4,3
C3,0,1,1.6,2.1,3.1
L1,-6.8,-3,-1.8,4.2,3.8
L2,-0.9,1,3,3.9,7.9
L3,-2.2,0,1.6,0.9,4.9
N1,0,2.9,3.4,6.7,1.9
N2,0,1.7,2.9,6.1,5.3
N3,0.8,2.4,3.6,4.9,2.7
