Participant,Stimulus,Run,Filename,Modality,Score
3,risset,1,ramp_90to120BPM_12s_210Hz.wav,both,3.0
3,risset,1,ramp_90to90BPM_12s_210Hz.wav,audio,-1.0
3,risset,1,risset_decelerating_haptic.wav,haptic,6.5
3,risset,1,ramp_90to120BPM_12s_210Hz.wav,audio,5.0
3,risset,1,ramp_90to110BPM_12s_210Hz.wav,audio,1.5
3,risset,1,ramp_90to90BPM_12s_210Hz.wav,both,-3.0
3,risset,1,ramp_90to60BPM_12s_210Hz.wav,audio,-7.5
3,risset,1,ramp_90to110BPM_12s_210Hz.wav,both,5.0
3,risset,1,ramp_90to70BPM_12s_210Hz.wav,both,-5.0
3,risset,1,ramp_90to110BPM_12s_210Hz.wav,haptic,4.0
3,risset,1,risset_accelerating_haptic.wav,both,8.0
3,risset,1,ramp_90to70BPM_12s_210Hz.wav,haptic,-2.5
3,risset,1,ramp_90to70BPM_12s_210Hz.wav,audio,-2.5
3,risset,1,risset_accelerating_haptic.wav,audio,7.5
3,risset,1,ramp_90to60BPM_12s_210Hz.wav,haptic,-5.0
3,risset,1,risset_accelerating_haptic.wav,haptic,7.5
3,risset,1,ramp_90to60BPM_12s_210Hz.wav,both,-3.0
3,risset,1,risset_decelerating_haptic.wav,audio,-1.0
3,risset,1,ramp_90to120BPM_12s_210Hz.wav,haptic,4.0
3,risset,1,risset_decelerating_haptic.wav,both,5.0
3,risset,1,ramp_90to90BPM_12s_210Hz.wav,haptic,0.0
3,risset,2,risset_decelerating_haptic.wav,audio,5.0
3,risset,2,ramp_90to60BPM_12s_210Hz.wav,haptic,-2.5
3,risset,2,risset_decelerating_haptic.wav,haptic,3.0
3,risset,2,ramp_90to110BPM_12s_210Hz.wav,audio,3.0
3,risset,2,ramp_90to110BPM_12s_210Hz.wav,haptic,5.0
3,risset,2,risset_accelerating_haptic.wav,haptic,3.0
3,risset,2,ramp_90to70BPM_12s_210Hz.wav,audio,-5.0
3,risset,2,ramp_90to90BPM_12s_210Hz.wav,both,0.0
3,risset,2,ramp_90to90BPM_12s_210Hz.wav,haptic,0.0
3,risset,2,ramp_90to70BPM_12s_210Hz.wav,haptic,-2.0
3,risset,2,ramp_90to60BPM_12s_210Hz.wav,both,-7.5
3,risset,2,ramp_90to120BPM_12s_210Hz.wav,haptic,3.0
3,risset,2,ramp_90to90BPM_12s_210Hz.wav,audio,0.0
3,risset,2,risset_accelerating_haptic.wav,audio,7.0
3,risset,2,ramp_90to60BPM_12s_210Hz.wav,audio,-5.0
3,risset,2,risset_decelerating_haptic.wav,both,4.0
3,risset,2,ramp_90to110BPM_12s_210Hz.wav,both,2.5
3,risset,2,risset_accelerating_haptic.wav,both,7.5
3,risset,2,ramp_90to70BPM_12s_210Hz.wav,both,-5.0
3,risset,2,ramp_90to120BPM_12s_210Hz.wav,both,5.0
3,risset,2,ramp_90to120BPM_12s_210Hz.wav,audio,2.5
3,risset,3,ramp_90to60BPM_12s_210Hz.wav,both,-7.5
3,risset,3,ramp_90to90BPM_12s_210Hz.wav,haptic,1.5
3,risset,3,ramp_90to90BPM_12s_210Hz.wav,both,0.0
3,risset,3,ramp_90to110BPM_12s_210Hz.wav,audio,2.5
3,risset,3,risset_accelerating_haptic.wav,audio,7.0
3,risset,3,ramp_90to120BPM_12s_210Hz.wav,both,2.5
3,risset,3,risset_accelerating_haptic.wav,haptic,5.0
3,risset,3,ramp_90to60BPM_12s_210Hz.wav,haptic,-5.0
3,risset,3,risset_decelerating_haptic.wav,audio,4.5
3,risset,3,ramp_90to70BPM_12s_210Hz.wav,audio,-2.5
3,risset,3,ramp_90to110BPM_12s_210Hz.wav,both,1.0
3,risset,3,ramp_90to70BPM_12s_210Hz.wav,both,-4.0
3,risset,3,risset_decelerating_haptic.wav,both,-2.0
3,risset,3,ramp_90to60BPM_12s_210Hz.wav,audio,-5.0
3,risset,3,ramp_90to120BPM_12s_210Hz.wav,haptic,5.0
3,risset,3,ramp_90to110BPM_12s_210Hz.wav,haptic,2.0
3,risset,3,ramp_90to90BPM_12s_210Hz.wav,audio,0.0
3,risset,3,risset_decelerating_haptic.wav,haptic,7.5
3,risset,3,risset_accelerating_haptic.wav,both,5.0
3,risset,3,ramp_90to70BPM_12s_210Hz.wav,haptic,-2.5
3,risset,3,ramp_90to120BPM_12s_210Hz.wav,audio,5.0
