Participant,Block,Stimulus,Modality,Rank,Filename,Score
1,3,risset,both,1,rissettrhythm reverse-2.0.mp3,-9.5
1,3,risset,both,2,rissettrhythm reverse-1.5.mp3,-7.4
1,3,risset,both,3,ramp_100to60BPM_8s_700Hz.mp3,-5.6
1,3,risset,both,4,rissettrhythm reverse.mp3,-4.2
1,3,risset,both,5,ramp_90to60BPM_8s_700Hz.mp3,-2.7
1,3,risset,both,6,ramp_80to60BPM_8s_700Hz.mp3,-1.2
1,3,risset,both,7,ramp_60to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,8,ramp_60to80BPM_8s_700Hz.mp3,1.2
1,3,risset,both,9,ramp_60to90BPM_8s_700Hz.mp3,2.1
1,3,risset,both,10,rissettrhythm.mp3,3.0
1,3,risset,both,11,ramp_60to100BPM_8s_700Hz.mp3,4.5
1,3,risset,both,12,rissettrhythm-1.5.mp3,6.8
1,3,risset,both,13,rissettrhythm-2.0.mp3,9.0
