Participant,Block,Stimulus,Modality,Rank,Filename,Score
1,1,risset,audio,1,ramp_60to60BPM_8s_700Hz.mp3,-6.4
1,1,risset,audio,2,ramp_60to90BPM_8s_700Hz.mp3,-5.9
1,1,risset,audio,3,rissettrhythm reverse-1.5.mp3,-5.2
1,1,risset,audio,4,ramp_80to60BPM_8s_700Hz.mp3,-5.1
1,1,risset,audio,5,rissettrhythm.mp3,-4.1
1,1,risset,audio,6,ramp_60to80BPM_8s_700Hz.mp3,-3.9
1,1,risset,audio,7,ramp_100to60BPM_8s_700Hz.mp3,-3.4
1,1,risset,audio,8,rissettrhythm-1.5.mp3,-3.3
1,1,risset,audio,9,ramp_60to100BPM_8s_700Hz.mp3,-2.6
1,1,risset,audio,10,ramp_90to60BPM_8s_700Hz.mp3,2.6
1,1,risset,audio,11,rissettrhythm-2.0.mp3,4.2
1,1,risset,audio,12,rissettrhythm reverse.mp3,4.3
1,1,risset,audio,13,rissettrhythm reverse-2.0.mp3,4.4
