Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
2,risset,ramp_90to110BPM_8s_700Hz.mp3,audio,0.0,4.2,0.0,1.4
2,risset,ramp_90to110BPM_8s_700Hz.mp3,both,0.9,2.0,0.4,1.1
2,risset,ramp_90to110BPM_8s_700Hz.mp3,haptic,0.0,-4.7,4.7,0.0
2,risset,ramp_90to120BPM_8s_700Hz.mp3,audio,5.8,2.5,1.5,3.267
2,risset,ramp_90to120BPM_8s_700Hz.mp3,both,3.3,1.9,2.2,2.467
2,risset,ramp_90to120BPM_8s_700Hz.mp3,haptic,2.0,1.7,2.4,2.033
2,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-4.8,-3.5,-6.1,-4.8
2,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-4.7,-3.0,-4.7,-4.133
2,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-4.1,-5.7,-3.4,-4.4
2,risset,ramp_90to70BPM_8s_700Hz.mp3,audio,-1.6,-0.6,-2.9,-1.7
2,risset,ramp_90to70BPM_8s_700Hz.mp3,both,-1.1,-3.4,-2.2,-2.233
2,risset,ramp_90to70BPM_8s_700Hz.mp3,haptic,-2.9,-3.1,-1.0,-2.333
2,risset,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0,0.0,0.0,0.0
2,risset,ramp_90to90BPM_8s_700Hz.mp3,both,0.0,0.0,-2.6,-0.867
2,risset,ramp_90to90BPM_8s_700Hz.mp3,haptic,-0.9,0.0,0.0,-0.3
2,risset,rissettrhythm reverse-1.5.mp3,audio,-5.9,-8.4,-3.7,-6.0
2,risset,rissettrhythm reverse-1.5.mp3,both,-7.6,-6.3,-5.2,-6.367
2,risset,rissettrhythm reverse-1.5.mp3,haptic,-1.8,-3.4,-2.1,-2.433
2,risset,rissettrhythm reverse.mp3,audio,-5.4,-2.4,-4.4,-4.067
2,risset,rissettrhythm reverse.mp3,both,-4.1,-0.5,-7.1,-3.9
2,risset,rissettrhythm reverse.mp3,haptic,2.3,3.6,-0.9,1.667
2,risset,rissettrhythm-1.5.mp3,audio,4.1,5.1,5.7,4.967
2,risset,rissettrhythm-1.5.mp3,both,5.3,1.8,2.5,3.2
2,risset,rissettrhythm-1.5.mp3,haptic,-2.9,5.2,3.4,1.9
2,risset,rissettrhythm.mp3,audio,6.1,3.5,1.5,3.7
2,risset,rissettrhythm.mp3,both,6.1,3.2,0.0,3.1
2,risset,rissettrhythm.mp3,haptic,-2.2,3.2,2.4,1.133
