Participant,Block,Stimulus,Modality,Rank,Filename,Score
1,1,risset,audio,1,ramp_100to60BPM_8s_700Hz.mp3,0.0
1,1,risset,audio,2,rissettrhythm reverse-2.0.mp3,0.0
1,1,risset,audio,3,ramp_60to80BPM_8s_700Hz.mp3,0.0
1,1,risset,audio,4,ramp_60to100BPM_8s_700Hz.mp3,0.0
1,1,risset,audio,5,ramp_90to60BPM_8s_700Hz.mp3,0.0
1,1,risset,audio,6,ramp_60to60BPM_8s_700Hz.mp3,0.0
1,1,risset,audio,7,ramp_60to90BPM_8s_700Hz.mp3,0.0
1,1,risset,audio,8,rissettrhythm-1.5.mp3,0.0
1,1,risset,audio,9,rissettrhythm-2.0.mp3,0.0
1,1,risset,audio,10,rissettrhythm reverse-1.5.mp3,0.0
1,1,risset,audio,11,rissettrhythm.mp3,0.0
1,1,risset,audio,12,rissettrhythm reverse.mp3,0.0
1,1,risset,audio,13,ramp_80to60BPM_8s_700Hz.mp3,0.0
1,2,risset,haptic,1,ramp_90to60BPM_8s_700Hz.mp3,0.0
1,2,risset,haptic,2,ramp_60to90BPM_8s_700Hz.mp3,0.0
1,2,risset,haptic,3,ramp_60to100BPM_8s_700Hz.mp3,0.0
1,2,risset,haptic,4,ramp_100to60BPM_8s_700Hz.mp3,0.0
1,2,risset,haptic,5,rissettrhythm reverse-2.0.mp3,0.0
1,2,risset,haptic,6,rissettrhythm-1.5.mp3,0.0
1,2,risset,haptic,7,rissettrhythm-2.0.mp3,0.0
1,2,risset,haptic,8,ramp_80to60BPM_8s_700Hz.mp3,0.0
1,2,risset,haptic,9,rissettrhythm reverse-1.5.mp3,0.0
1,2,risset,haptic,10,rissettrhythm reverse.mp3,0.0
1,2,risset,haptic,11,rissettrhythm.mp3,0.0
1,2,risset,haptic,12,ramp_60to80BPM_8s_700Hz.mp3,0.0
1,2,risset,haptic,13,ramp_60to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,1,rissettrhythm reverse.mp3,0.0
1,3,risset,both,2,ramp_60to90BPM_8s_700Hz.mp3,0.0
1,3,risset,both,3,ramp_60to80BPM_8s_700Hz.mp3,0.0
1,3,risset,both,4,rissettrhythm.mp3,0.0
1,3,risset,both,5,ramp_60to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,6,rissettrhythm reverse-1.5.mp3,0.0
1,3,risset,both,7,ramp_80to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,8,ramp_90to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,9,rissettrhythm reverse-2.0.mp3,0.0
1,3,risset,both,10,rissettrhythm-1.5.mp3,0.0
1,3,risset,both,11,rissettrhythm-2.0.mp3,0.0
1,3,risset,both,12,ramp_100to60BPM_8s_700Hz.mp3,0.0
1,3,risset,both,13,ramp_60to100BPM_8s_700Hz.mp3,0.0
