Participant,Stimulus,Run,Filename,Modality,Score
6,risset,1,rissettrhythm reverse.mp3,audio,-0.3
6,risset,1,ramp_90to110BPM_8s_700Hz.mp3,both,0.7
6,risset,1,rissettrhythm reverse-1.5.mp3,haptic,-1.4
6,risset,1,rissettrhythm-1.5.mp3,both,2.8
6,risset,1,ramp_90to120BPM_8s_700Hz.mp3,both,1.6
6,risset,1,rissettrhythm.mp3,both,1.9
6,risset,1,rissettrhythm reverse.mp3,both,0.0
6,risset,1,rissettrhythm-1.5.mp3,haptic,-1.3
6,risset,1,ramp_90to90BPM_8s_700Hz.mp3,both,-1.1
6,risset,1,ramp_90to110BPM_8s_700Hz.mp3,haptic,1.5
6,risset,1,ramp_90to90BPM_8s_700Hz.mp3,haptic,0.0
6,risset,1,ramp_90to60BPM_8s_700Hz.mp3,haptic,-3.9
6,risset,1,ramp_90to90BPM_8s_700Hz.mp3,audio,-0.5
6,risset,1,rissettrhythm reverse-1.5.mp3,both,-4.5
6,risset,1,ramp_90to70BPM_8s_700Hz.mp3,both,-2.9
6,risset,1,rissettrhythm.mp3,haptic,-2.1
6,risset,1,ramp_90to60BPM_8s_700Hz.mp3,both,-2.2
6,risset,1,rissettrhythm-1.5.mp3,audio,1.8
6,risset,1,rissettrhythm.mp3,audio,2.7
6,risset,1,ramp_90to70BPM_8s_700Hz.mp3,haptic,-3.2
6,risset,1,rissettrhythm reverse-1.5.mp3,audio,-0.9
6,risset,1,ramp_90to120BPM_8s_700Hz.mp3,haptic,1.6
6,risset,1,ramp_90to120BPM_8s_700Hz.mp3,audio,1.6
6,risset,1,ramp_90to110BPM_8s_700Hz.mp3,audio,-0.3
6,risset,1,rissettrhythm reverse.mp3,haptic,0.0
6,risset,1,ramp_90to70BPM_8s_700Hz.mp3,audio,-3.3
6,risset,1,ramp_90to60BPM_8s_700Hz.mp3,audio,-5.1
6,risset,2,rissettrhythm reverse-1.5.mp3,haptic,1.3
6,risset,2,ramp_90to120BPM_8s_700Hz.mp3,haptic,2.6
6,risset,2,ramp_90to60BPM_8s_700Hz.mp3,both,-2.4
6,risset,2,rissettrhythm.mp3,both,1.7
6,risset,2,ramp_90to120BPM_8s_700Hz.mp3,both,-1.0
6,risset,2,ramp_90to90BPM_8s_700Hz.mp3,both,-0.4
6,risset,2,ramp_90to110BPM_8s_700Hz.mp3,both,0.8
6,risset,2,ramp_90to60BPM_8s_700Hz.mp3,haptic,-3.3
6,risset,2,ramp_90to60BPM_8s_700Hz.mp3,audio,-2.9
6,risset,2,rissettrhythm.mp3,haptic,1.4
6,risset,2,ramp_90to110BPM_8s_700Hz.mp3,haptic,1.2
6,risset,2,rissettrhythm reverse-1.5.mp3,audio,-1.4
6,risset,2,ramp_90to70BPM_8s_700Hz.mp3,audio,-1.4
6,risset,2,rissettrhythm reverse.mp3,haptic,-0.1
6,risset,2,ramp_90to70BPM_8s_700Hz.mp3,haptic,-3.1
6,risset,2,ramp_90to120BPM_8s_700Hz.mp3,audio,0.6
6,risset,2,ramp_90to70BPM_8s_700Hz.mp3,both,-3.5
6,risset,2,rissettrhythm-1.5.mp3,both,3.6
6,risset,2,rissettrhythm reverse-1.5.mp3,both,-2.8
6,risset,2,ramp_90to90BPM_8s_700Hz.mp3,haptic,1.4
6,risset,2,ramp_90to90BPM_8s_700Hz.mp3,audio,-1.3
6,risset,2,rissettrhythm reverse.mp3,audio,-0.3
6,risset,2,rissettrhythm-1.5.mp3,haptic,0.7
6,risset,2,rissettrhythm reverse.mp3,both,-0.3
6,risset,2,rissettrhythm.mp3,audio,1.2
6,risset,2,ramp_90to110BPM_8s_700Hz.mp3,audio,0.0
6,risset,2,rissettrhythm-1.5.mp3,audio,2.4
6,risset,3,rissettrhythm reverse-1.5.mp3,haptic,0.5
6,risset,3,ramp_90to70BPM_8s_700Hz.mp3,both,-2.1
6,risset,3,rissettrhythm reverse.mp3,haptic,-0.4
6,risset,3,rissettrhythm-1.5.mp3,both,2.9
6,risset,3,ramp_90to90BPM_8s_700Hz.mp3,both,0.0
6,risset,3,ramp_90to110BPM_8s_700Hz.mp3,audio,1.2
6,risset,3,ramp_90to120BPM_8s_700Hz.mp3,haptic,0.8
6,risset,3,rissettrhythm.mp3,audio,0.9
6,risset,3,ramp_90to90BPM_8s_700Hz.mp3,audio,-1.5
6,risset,3,ramp_90to110BPM_8s_700Hz.mp3,haptic,0.0
6,risset,3,rissettrhythm reverse.mp3,audio,-1.2
6,risset,3,ramp_90to70BPM_8s_700Hz.mp3,audio,-1.8
6,risset,3,rissettrhythm reverse-1.5.mp3,both,-0.4
6,risset,3,rissettrhythm reverse-1.5.mp3,audio,-0.5
6,risset,3,ramp_90to120BPM_8s_700Hz.mp3,both,2.8
6,risset,3,ramp_90to70BPM_8s_700Hz.mp3,haptic,-3.2
6,risset,3,rissettrhythm.mp3,both,3.9
6,risset,3,rissettrhythm-1.5.mp3,audio,4.7
6,risset,3,rissettrhythm-1.5.mp3,haptic,-2.0
6,risset,3,ramp_90to60BPM_8s_700Hz.mp3,both,-4.4
6,risset,3,ramp_90to120BPM_8s_700Hz.mp3,audio,-2.4
6,risset,3,ramp_90to60BPM_8s_700Hz.mp3,audio,-6.0
6,risset,3,ramp_90to60BPM_8s_700Hz.mp3,haptic,-3.1
6,risset,3,ramp_90to110BPM_8s_700Hz.mp3,both,0.1
6,risset,3,ramp_90to90BPM_8s_700Hz.mp3,haptic,-0.8
6,risset,3,rissettrhythm reverse.mp3,both,-2.0
6,risset,3,rissettrhythm.mp3,haptic,2.5
