Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
6,risset,ramp_90to110BPM_8s_700Hz.mp3,audio,-0.3,0.0,1.2,0.3
6,risset,ramp_90to110BPM_8s_700Hz.mp3,both,0.7,0.8,0.1,0.533
6,risset,ramp_90to110BPM_8s_700Hz.mp3,haptic,1.5,1.2,0.0,0.9
6,risset,ramp_90to120BPM_8s_700Hz.mp3,audio,1.6,0.6,-2.4,-0.067
6,risset,ramp_90to120BPM_8s_700Hz.mp3,both,1.6,-1.0,2.8,1.133
6,risset,ramp_90to120BPM_8s_700Hz.mp3,haptic,1.6,2.6,0.8,1.667
6,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-5.1,-2.9,-6.0,-4.667
6,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-2.2,-2.4,-4.4,-3.0
6,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-3.9,-3.3,-3.1,-3.433
6,risset,ramp_90to70BPM_8s_700Hz.mp3,audio,-3.3,-1.4,-1.8,-2.167
6,risset,ramp_90to70BPM_8s_700Hz.mp3,both,-2.9,-3.5,-2.1,-2.833
6,risset,ramp_90to70BPM_8s_700Hz.mp3,haptic,-3.2,-3.1,-3.2,-3.167
6,risset,ramp_90to90BPM_8s_700Hz.mp3,audio,-0.5,-1.3,-1.5,-1.1
6,risset,ramp_90to90BPM_8s_700Hz.mp3,both,-1.1,-0.4,0.0,-0.5
6,risset,ramp_90to90BPM_8s_700Hz.mp3,haptic,0.0,1.4,-0.8,0.2
6,risset,rissettrhythm reverse-1.5.mp3,audio,-0.9,-1.4,-0.5,-0.933
6,risset,rissettrhythm reverse-1.5.mp3,both,-4.5,-2.8,-0.4,-2.567
6,risset,rissettrhythm reverse-1.5.mp3,haptic,-1.4,1.3,0.5,0.133
6,risset,rissettrhythm reverse.mp3,audio,-0.3,-0.3,-1.2,-0.6
6,risset,rissettrhythm reverse.mp3,both,0.0,-0.3,-2.0,-0.767
6,risset,rissettrhythm reverse.mp3,haptic,0.0,-0.1,-0.4,-0.167
6,risset,rissettrhythm-1.5.mp3,audio,1.8,2.4,4.7,2.967
6,risset,rissettrhythm-1.5.mp3,both,2.8,3.6,2.9,3.1
6,risset,rissettrhythm-1.5.mp3,haptic,-1.3,0.7,-2.0,-0.867
6,risset,rissettrhythm.mp3,audio,2.7,1.2,0.9,1.6
6,risset,rissettrhythm.mp3,both,1.9,1.7,3.9,2.5
6,risset,rissettrhythm.mp3,haptic,-2.1,1.4,2.5,0.6
