Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
1,risset,ramp_100to60BPM_8s_700Hz.mp3,audio,-5.3,-5.9,-5.2,-5.467
1,risset,ramp_100to60BPM_8s_700Hz.mp3,both,-6.5,-5.1,-4.3,-5.3
1,risset,ramp_100to60BPM_8s_700Hz.mp3,haptic,-6.4,-4.8,-5.0,-5.4
1,risset,ramp_60to100BPM_8s_700Hz.mp3,audio,4.2,5.9,4.6,4.9
1,risset,ramp_60to100BPM_8s_700Hz.mp3,both,6.2,3.1,3.8,4.367
1,risset,ramp_60to100BPM_8s_700Hz.mp3,haptic,4.9,5.3,4.6,4.933
1,risset,ramp_60to60BPM_8s_700Hz.mp3,audio,0.0,0.0,0.0,0.0
1,risset,ramp_60to60BPM_8s_700Hz.mp3,both,0.0,0.0,0.0,0.0
1,risset,ramp_60to60BPM_8s_700Hz.mp3,haptic,0.0,0.0,0.0,0.0
1,risset,ramp_60to80BPM_8s_700Hz.mp3,audio,3.8,3.7,3.5,3.667
1,risset,ramp_60to80BPM_8s_700Hz.mp3,both,3.9,4.1,2.3,3.433
1,risset,ramp_60to80BPM_8s_700Hz.mp3,haptic,4.8,1.0,4.7,3.5
1,risset,ramp_60to90BPM_8s_700Hz.mp3,audio,4.7,4.1,4.7,4.5
1,risset,ramp_60to90BPM_8s_700Hz.mp3,both,4.7,4.2-,3.4,4.1
1,risset,ramp_60to90BPM_8s_700Hz.mp3,haptic,3.5,3.3,2.5,3.1
1,risset,ramp_80to60BPM_8s_700Hz.mp3,audio,-3.0,-2.6,-2.6,-2.733
1,risset,ramp_80to60BPM_8s_700Hz.mp3,both,-2.1,-1.7,-2.5,-2.1
1,risset,ramp_80to60BPM_8s_700Hz.mp3,haptic,-4.0,-3.9,-3.7,-3.867
1,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-4.2,-2.9,-4.4,-3.833
1,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-5.9,-2.9,-3.2,-4.0
1,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-3.1,-5.2,-2.1,-3.467
1,risset,rissettrhythm reverse-1.5.mp3,audio,-5.7,-5.3,-3.9,-4.967
1,risset,rissettrhythm reverse-1.5.mp3,both,-7.6,-6.7,-6.2,-6.833
1,risset,rissettrhythm reverse-1.5.mp3,haptic,-5.7,-4.8,-4.5,-5.0
1,risset,rissettrhythm reverse-2.0.mp3,audio,-5.8,-6.9,-7.5,-6.733
1,risset,rissettrhythm reverse-2.0.mp3,both,-5.1,-7.8,-6.8,-6.567
1,risset,rissettrhythm reverse-2.0.mp3,haptic,-3.5,-3.4,-4.4,-3.767
1,risset,rissettrhythm reverse.mp3,audio,-4.2,-4.4,-5.0,-4.533
1,risset,rissettrhythm reverse.mp3,both,-4.8,-5.8,-4.5,-5.033
1,risset,rissettrhythm reverse.mp3,haptic,-5.1,-4.4,-2.5,-4.0
1,risset,rissettrhythm-1.5.mp3,audio,7.1,7.2,6.3,6.867
1,risset,rissettrhythm-1.5.mp3,both,6.9,8.5,7.2,7.533
1,risset,rissettrhythm-1.5.mp3,haptic,6.8,6.0,4.8,5.867
1,risset,rissettrhythm-2.0.mp3,audio,9.0,10.0,10.0,9.667
1,risset,rissettrhythm-2.0.mp3,both,8.9,10.0,7.9,8.933
1,risset,rissettrhythm-2.0.mp3,haptic,7.1,6.9,6.2,6.733
1,risset,rissettrhythm.mp3,audio,4.8,4.0,4.1,4.3
1,risset,rissettrhythm.mp3,both,4.8,5.4,5.3,5.167
1,risset,rissettrhythm.mp3,haptic,5.1,5.1,4.6,4.933
