Participant,Block,Stimulus,Modality,Rank,Filename,Score
2,3,shepard,haptic,1,pitch_decrease_strong_200to100Hz.mp3,-8.4
2,3,shepard,haptic,2,pitch_decrease_mild_200to141Hz.mp3,-5.8
2,3,shepard,haptic,3,shepard_rising_1.0.mp3,-3.7
2,3,shepard,haptic,4,pitch_constant_200to200Hz.mp3,0.0
2,3,shepard,haptic,5,shepard_rising_1.5.mp3,0.2
2,3,shepard,haptic,6,pitch_increase_mild_200to283Hz.mp3,2.3
2,3,shepard,haptic,7,shepard_falling_1.5.mp3,3.0
2,3,shepard,haptic,8,shepard_falling_1.0.mp3,4.8
2,3,shepard,haptic,9,pitch_increase_strong_200to400Hz.mp3,6.6
