Participant,Block,Stimulus,Modality,Rank,Filename,Score
5,1,shepard,both,1,shepard_falling_1.5.mp3,-5.0
5,1,shepard,both,2,pitch_decrease_strong_200to100Hz.mp3,-5.0
5,1,shepard,both,3,pitch_decrease_mild_200to141Hz.mp3,-4.0
5,1,shepard,both,4,shepard_falling_1.0.mp3,-4.0
5,1,shepard,both,5,pitch_constant_200to200Hz.mp3,0.0
5,1,shepard,both,6,pitch_increase_mild_200to283Hz.mp3,4.0
5,1,shepard,both,7,shepard_rising_1.0.mp3,4.0
5,1,shepard,both,8,pitch_increase_strong_200to400Hz.mp3,8.0
5,1,shepard,both,9,shepard_rising_1.5.mp3,8.0
5,2,shepard,audio,1,pitch_decrease_strong_200to100Hz.mp3,-5.0
5,2,shepard,audio,2,shepard_falling_1.5.mp3,-5.0
5,2,shepard,audio,3,shepard_falling_1.0.mp3,-4.0
5,2,shepard,audio,4,pitch_decrease_mild_200to141Hz.mp3,-4.0
5,2,shepard,audio,5,pitch_constant_200to200Hz.mp3,0.0
5,2,shepard,audio,6,pitch_increase_strong_200to400Hz.mp3,4.0
5,2,shepard,audio,7,pitch_increase_mild_200to283Hz.mp3,4.0
5,2,shepard,audio,8,shepard_rising_1.5.mp3,8.0
5,2,shepard,audio,9,shepard_rising_1.0.mp3,8.0
5,3,shepard,haptic,1,pitch_decrease_strong_200to100Hz.mp3,-4.0
5,3,shepard,haptic,2,shepard_falling_1.5.mp3,-3.0
5,3,shepard,haptic,3,pitch_decrease_mild_200to141Hz.mp3,-3.0
5,3,shepard,haptic,4,shepard_falling_1.0.mp3,-2.0
5,3,shepard,haptic,5,pitch_constant_200to200Hz.mp3,0.0
5,3,shepard,haptic,6,shepard_rising_1.5.mp3,2.0
5,3,shepard,haptic,7,pitch_increase_strong_200to400Hz.mp3,3.0
5,3,shepard,haptic,8,pitch_increase_mild_200to283Hz.mp3,3.0
5,3,shepard,haptic,9,shepard_rising_1.0.mp3,4.0
