Participant,Stimulus,Filename,Modality,Score_Run1,Score_Run2,Score_Run3,Average
1,risset,ramp_90to110BPM_8s_700Hz.mp3,audio,0.5,0.8,1.5,0.933
1,risset,ramp_90to110BPM_8s_700Hz.mp3,both,2.5,1.1,0.6,1.4
1,risset,ramp_90to110BPM_8s_700Hz.mp3,haptic,0.0,2.2,0.6,0.933
1,risset,ramp_90to120BPM_8s_700Hz.mp3,audio,1.9,2.5,2.8,2.4
1,risset,ramp_90to120BPM_8s_700Hz.mp3,both,3.3,2.2,5.1,3.533
1,risset,ramp_90to120BPM_8s_700Hz.mp3,haptic,1.5,1.2,2.3,1.667
1,risset,ramp_90to60BPM_8s_700Hz.mp3,audio,-2.5,-3.5,-1.5,-2.5
1,risset,ramp_90to60BPM_8s_700Hz.mp3,both,-1.0,-1.8,-1.6,-1.467
1,risset,ramp_90to60BPM_8s_700Hz.mp3,haptic,-2.2,-3.5,-0.9,-2.2
1,risset,ramp_90to70BPM_8s_700Hz.mp3,audio,0.0,-2.8,-1.6,-1.467
1,risset,ramp_90to70BPM_8s_700Hz.mp3,both,-1.0,-1.4,-1.6,-1.333
1,risset,ramp_90to70BPM_8s_700Hz.mp3,haptic,-1.5,-1.8,0.0,-1.1
1,risset,ramp_90to90BPM_8s_700Hz.mp3,audio,0.0,0.0,0.0,0.0
1,risset,ramp_90to90BPM_8s_700Hz.mp3,both,0.0,0.0,0.0,0.0
1,risset,ramp_90to90BPM_8s_700Hz.mp3,haptic,0.5,0.0,0.0,0.167
1,risset,rissettrhythm reverse.mp3,audio,0.0,0.0,0.0,0.0
1,risset,rissettrhythm reverse.mp3,both,0.0,0.0,0.0,0.0
1,risset,rissettrhythm reverse.mp3,haptic,1.0,0.0,0.0,0.333
1,risset,rissettrhythm.mp3,audio,4.0,2.8,3.3,3.367
1,risset,rissettrhythm.mp3,both,2.2,4.0,3.2,3.133
1,risset,rissettrhythm.mp3,haptic,1.5,0.0,1.2,0.9
